Stock,Current Price,Previous Close,Volume,Market Cap,Day High,Day Low,52W High,52W Low,1M Return,3M Return,6M Return,RSI,SMA20,SMA50,MACD,ATR,Institutional Score,Confidence,Buy Probability,Composite Score,Trade Signal,Sector,Sector Rank,Sector Percentile,Market Leader,Relative Strength Score,Elite Stock
BLS.NS,269.2,262.0,26536679,110827238377.52563,286.95001220703125,268.0,422.0,218.89999389648438,-8.04,-4.73,-15.78,47.43,275.11,268.62,-3.9,12.28,53,50.35,47.83,50.39,HOLD,Unknown,24.0,79.97,NO,-10.14,NO
ALIVUS.NS,1062.2,1061.6,41907,130373835672.46289,1079.300048828125,1052.0999755859375,1148.4000244140625,819.0,-0.55,11.6,16.74,51.59,1068.57,1019.2,11.99,39.64,53,50.35,47.83,50.39,HOLD,Unknown,24.0,79.97,NO,10.01,NO
AMAGI.NS,410.15,406.65,587220,88731416561.17188,438.79998779296875,397.6000061035156,450.79998779296875,310.20001220703125,9.4,0.16,17.77,57.55,409.42,374.96,9.36,20.27,53,50.35,47.83,50.39,HOLD,Unknown,24.0,79.97,NO,9.98,NO
AEGISLOG.NS,714.5,700.5,473084,250789500000.0,721.0,686.0,944.5999755859375,576.0999755859375,-3.51,-0.81,-8.11,57.46,701.32,658.15,5.73,29.04,51,48.45,46.03,48.49,AVOID,Unknown,25.0,79.33,NO,-4.54,NO
BHAGCHEM.NS,252.4,249.25,90517,32728475000.562744,254.0,243.64999389648438,331.0,170.60000610351562,6.83,13.35,-1.36,55.74,257.19,224.29,5.29,10.88,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,5.51,NO
BIRDYS.NS,137.0,134.4,0,374990400.0,0.0,0.0,154.0,101.0,5.87,17.09,5.79,66.02,134.19,120.79,2.1,3.11,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,9.2,NO
ACCORD.NS,50.5,48.1,0,99993600.0,0.0,0.0,50.599998474121094,19.850000381469727,32.37,80.36,120.52,78.41,45.12,35.37,3.23,1.63,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,82.03,NO
AMEYA.NS,115.9,113.0,0,908625000.0,0.0,0.0,128.4499969482422,86.0,8.27,23.3,4.41,53.13,115.05,107.24,3.64,4.28,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,11.24,NO
AVL.NS,538.65,551.45,69178,69560213785.28442,550.9500122070312,537.25,598.7000122070312,327.6000061035156,5.18,4.06,-0.18,54.89,538.45,499.43,13.25,20.22,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,2.7,NO
AJAXENGG.NS,575.5,568.0,84671,65841113400.0,581.0,563.9500122070312,730.0999755859375,394.79998779296875,15.68,8.02,-11.48,66.71,535.74,496.55,15.58,22.43,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,2.52,NO
